Initial data:
Name                          | Age | Salary   
------------------------------+-----+----------
Heather Campbell              |  86 |  1178.82
Stacey Brown                  |  91 |  4736.19
Michael Jackson               | 108 |  2012.86
Karen Walsh                   | 110 |  3818.07
Tamara Miller                 |  29 |  2919.01
Nicholas Johnson              |  27 |  4487.29
Cristina Pearson              |  93 |  2990.88
Peter Valenzuela              |  52 |  2269.32
Jessica Douglas               |  25 |  1980.22
Gregory Wells                 | 101 |  1403.49
Tiffany Ponce                 |  25 |  3079.72
Gwendolyn Lee                 |  87 |  2530.03
Matthew Hayes                 |  99 |  2741.09
Charles Young                 | 109 |  4778.25
Natalie Parker                | 110 |  2605.44
Daniel Mcdowell               |  68 |  4460.75
Jonathan Bennett              | 100 |  4104.45
Donald Bautista               |  92 |   167.15
Justin Morales                |  59 |  2516.82
Pamela Campbell               |  58 |  3329.59
Sherry Ferguson               |  91 |   684.73
Victoria Garcia               |  37 |  4767.01
Kevin Williams                |  31 |  3548.04
Kristine Young MD             |  30 |  1226.34
Jennifer Matthews             |  82 |  3368.92
Thomas Martin                 |  49 |  3072.44
Heather Watts                 |  87 |   479.49
David Bowman                  |  57 |  2038.83
Jose Perry                    |  92 |  1771.78
Bonnie Patton                 |  91 |  2535.59
Kevin Smith                   |  43 |  4243.94
Juan Hayes                    |  27 |  4983.03

Results:
Name                          | Age | Salary   | Hash
------------------------------+-----+----------+------------------------------------------------------------------------------------------
Bonnie Patton                 |  91 |  2535.59 | nsOlr7ORAb7TFltHPtpaP5xXL6uw701zgPNankXgkxQ3twhoncLxx3NjV9z2Qy4b1Jtd_JtnysLJpgWDli4igA==
Charles Young                 | 109 |  4778.25 | -xbeBbb5oiEPMknAXVYtjIzHM5F_PHts8qLcd7n0ho_81gJ_9qB182-Xp4VUCIuWtcACAeIcVhoQdbltbf6WZg==
Cristina Pearson              |  93 |  2990.88 | mDN8cbgSVzhSCNhxo2HGvHJQakHC1SF_jlWoC1ye4YaF17iFistM-Khm2EJG_LhC7IaqEN1Yh2zj0Ikkd2hoSg==
Daniel Mcdowell               |  68 |  4460.75 | Tg5J8SAPWoLaECdNujCF3gDRHO-DZyNSm_9H2DWPmwsyxaiLxDLTEJiBv0IKAX92dWlAPI-V0QRsVH6DrSwSew==
David Bowman                  |  57 |  2038.83 | 9v0bkzxMEjC42JaoA1LUdP9YhEq8GX_xdPqDPK8azt7BiO2sdM3-8fZEnVYG75zY1fl_y9Dnf0qmAfidODfVig==
Donald Bautista               |  92 |   167.15 | f_e4GZg3UQu16wSKTicNpG_JP7MMJUCHZ4mFgGP5_13zYN9YLPH15AvhUhawtNz8zDurPa_2cZT__sHUvtsolA==
Gregory Wells                 | 101 |  1403.49 | NTxGeL3sXLBshMbA1zbfdll7fM2QIRdMjZ84RNdnLXw2FLZorL2G3bHl7TuxXPnIZxLQx4RKW1Ti7jzicTTPVg==
Gwendolyn Lee                 |  87 |  2530.03 | 19d7emWIgBsNcJno0g6iYz4JOYbWUfJ9p-me3WMLjdJ0GfzudLNl93T1Vw_aqpLflu-c7Nm1m3zY9O5SW6gxtg==
Heather Campbell              |  86 |  1178.82 | F7Z9QVUN8zKjHd58P0c21Bu7nUOyHpypAMvp4RnCN1x6jj_JAQPH08lPI5LZFy_NELmj7fDF9potTKWyWcJg8A==
